step,forecast_time,forecast_aqi
1,2026-01-01 00:00:00,58.189910888671875
2,2026-01-01 01:00:00,57.16443634033203
3,2026-01-01 02:00:00,57.54266357421875
4,2026-01-01 03:00:00,57.88092803955078
5,2026-01-01 04:00:00,57.89240646362305
6,2026-01-01 05:00:00,57.63441467285156
7,2026-01-01 06:00:00,57.27829360961914
8,2026-01-01 07:00:00,57.0229377746582
9,2026-01-01 08:00:00,56.97467803955078
10,2026-01-01 09:00:00,57.08464431762695
11,2026-01-01 10:00:00,57.32017517089844
12,2026-01-01 11:00:00,56.78727340698242
