epoch,train_loss,val_loss,mae,rmse,val_r2,train_sec
1,0.36893650,0.58908785,1.02841830,1.14105358,-1.59443331,12.09
2,0.24693522,0.37888482,0.78610313,0.89586048,-0.59923089,8.73
3,0.18177525,0.25380149,0.61997420,0.72295848,-0.04149497,8.81
4,0.14213236,0.15948439,0.46333972,0.57339621,0.34485108,8.75
5,0.11707949,0.09380026,0.32278055,0.44486460,0.60564613,8.82
6,0.11142087,0.10113265,0.34147397,0.46176377,0.57511628,8.75
7,0.10827512,0.09364509,0.31852600,0.44631659,0.60306764,8.78
8,0.10855196,0.07925953,0.28015944,0.41294519,0.66020632,8.77
9,0.11243322,0.10911117,0.34032539,0.48202002,0.53702182,8.81
10,0.12434847,0.08964169,0.30589861,0.43786822,0.61795259,8.69
11,0.11332707,0.08943089,0.30311894,0.43816933,0.61742699,8.76
12,0.10099169,0.07755965,0.27692464,0.40987517,0.66523993,8.86
13,0.09700672,0.08015041,0.28285202,0.41530513,0.65631151,8.83
14,0.09582655,0.08686906,0.30206090,0.42988159,0.63176244,8.83
15,0.09361141,0.07867464,0.27976570,0.41113749,0.66317481,8.79
16,0.08980478,0.07521663,0.27070308,0.40349156,0.67558616,8.80
17,0.09231908,0.07452270,0.26730913,0.40122499,0.67922068,8.88
18,0.09635483,0.07886730,0.28936809,0.40881601,0.66696781,8.78
19,0.09378485,0.09780355,0.33415768,0.45459312,0.58820969,8.81
20,0.09849135,0.07247588,0.26691371,0.39731164,0.68544757,8.87
21,0.09539836,0.07756803,0.29308996,0.40451567,0.67393732,8.85
22,0.09191759,0.10004303,0.33439499,0.45992138,0.57849997,8.77
23,0.09236384,0.07180109,0.26635408,0.39548758,0.68832916,8.80
24,0.09116629,0.07990128,0.29497287,0.41131535,0.66288328,8.79
25,0.09620510,0.08135081,0.29337853,0.41502260,0.65677893,8.87
26,0.09458750,0.07420137,0.27265602,0.40007248,0.68106091,8.95
27,0.08468841,0.08261033,0.28368869,0.42182889,0.64542913,9.12
28,0.08422189,0.07370942,0.26733404,0.40018370,0.68088353,8.84
